Date,Price,Open,High,Low,Vol.,Change %
6/30/2017,21.86,21.86,21.86,21.86,,0.00%
7/3/2017,22.4,22.3,22.7,22.3,11.18K,2.47%
7/4/2017,22.4,22.24,22.24,22.24,0.10K,0.00%
7/5/2017,22.4,22.2,22.2,22.2,0.25K,0.00%
7/6/2017,22.4,22.4,22.4,22.4,,0.00%
7/7/2017,22.4,22.4,22.4,22.4,,0.00%
7/10/2017,22.8,22.78,22.8,22.78,3.23K,1.79%
7/11/2017,22.8,22.8,22.8,22.8,,0.00%
7/12/2017,22.8,22.8,22.8,22.8,,0.00%
7/13/2017,22.8,22.6,22.6,22.6,0.06K,0.00%
7/14/2017,22.6,22.6,22.6,22.6,0.91K,-0.88%
7/17/2017,22.6,22.6,22.6,22.6,,0.00%
7/18/2017,22.6,22.6,22.6,22.6,0.05K,0.00%
7/19/2017,22.6,22.4,22.4,22.4,0.20K,0.00%
7/20/2017,22.6,22.6,22.6,22.6,8.02K,0.00%
7/21/2017,22.6,22.6,22.6,22.6,,0.00%
7/24/2017,22.6,22.6,22.6,22.6,0.52K,0.00%
7/25/2017,22.54,22.6,22.6,22.5,59.81K,-0.27%
7/26/2017,23,23,23,23,0.75K,2.04%
7/27/2017,22.98,22.9,23,22.9,2.19K,-0.09%
7/28/2017,22.98,22.98,22.98,22.98,,0.00%
7/31/2017,23,23,23,23,586.91K,0.09%
8/1/2017,22.22,22.6,23,22,5.63K,-3.39%
8/2/2017,22.22,22.22,22.22,22.22,,0.00%
8/3/2017,22.22,22.22,22.22,22.22,,0.00%
8/4/2017,22.22,22.22,22.22,22.22,,0.00%
8/8/2017,24.18,22.96,24.28,22.96,64.74K,8.82%
8/9/2017,24.18,24.18,24.18,24.18,,0.00%
8/10/2017,24.18,24.18,24.18,24.18,,0.00%
8/11/2017,23.3,23.4,23.4,23,245.88K,-3.64%
8/14/2017,23.3,23.42,23.42,23.3,6.90K,0.00%
8/15/2017,23.3,23.3,23.3,23.3,2.61K,0.00%
8/16/2017,23.3,23.3,23.3,23.3,,0.00%
8/17/2017,22.24,22.26,22.26,22.24,1.86K,-4.55%
8/18/2017,22.24,22.26,22.26,22.26,0.38K,0.00%
8/21/2017,22.24,22.24,22.24,22.24,,0.00%
8/22/2017,22.24,22.24,22.24,22.24,,0.00%
8/23/2017,22.64,22.64,22.64,22.6,0.55K,1.80%
8/24/2017,22.64,22.64,22.64,22.64,,0.00%
8/25/2017,22.64,22.64,22.64,22.64,,0.00%
8/28/2017,22.64,22.64,22.64,22.64,,0.00%
8/29/2017,22.64,22.64,22.64,22.64,,0.00%
8/30/2017,22.64,22.64,22.64,22.64,,0.00%
8/31/2017,22.64,22.64,22.64,22.64,8.51K,0.00%
9/4/2017,22.64,22.64,22.64,22.64,0.51K,0.00%
9/6/2017,22.64,22.7,22.7,22.7,0.01K,0.00%
9/7/2017,22.64,22.7,22.7,22.7,0.05K,0.00%
9/8/2017,22.72,22.72,22.72,22.72,1.05K,0.35%
9/11/2017,22.74,22.74,22.74,22.74,1.41K,0.09%
9/12/2017,22.74,22.74,22.74,22.74,0.05K,0.00%
9/13/2017,22.74,22.74,22.74,22.74,,0.00%
9/14/2017,22.7,22.76,22.76,22.7,23.94K,-0.18%
9/15/2017,22.7,22.7,22.7,22.7,,0.00%
9/18/2017,22.7,22.7,22.7,22.2,23.83K,0.00%
9/19/2017,22.7,22.4,22.4,22.4,0.05K,0.00%
9/20/2017,22.7,22.7,22.7,22.7,,0.00%
9/21/2017,22.7,22.7,22.7,22.7,,0.00%
9/22/2017,22.4,22.4,22.48,22.4,1.03K,-1.32%
9/25/2017,22.4,22.4,22.4,22.4,18.02K,0.00%
9/26/2017,22.4,22.4,22.4,22.4,,0.00%
9/27/2017,22.4,21.5,22.4,21.5,0.50K,0.00%
9/28/2017,22.4,22.4,22.4,22.4,,0.00%
9/29/2017,22.38,22.38,22.38,22.38,1.00K,-0.09%
10/2/2017,22.38,22.38,22.38,22.38,23.50K,0.00%
10/3/2017,21.24,21.24,21.24,21.24,4.33K,-5.09%
10/4/2017,21.24,21.24,21.24,21.24,,0.00%
10/6/2017,22,22,22,22,1.00K,3.58%
10/9/2017,22,22,22,22,17.51K,0.00%
10/10/2017,22,22,22,22,,0.00%
10/11/2017,22,22,22,22,,0.00%
10/12/2017,22,22,22,22,25.00K,0.00%
10/13/2017,22.02,22.2,22.2,22,16.00K,0.09%
